	mzmed
248	297.269509115424
249	298.154853019139
250	298.245343128704
251	298.235605491967
252	298.245417292962
253	298.28185028361196
254	298.30464478353804
255	299.00070156529597
256	299.149799407871
257	299.257362517393
258	299.248470392995
259	299.308040147466
260	299.315625011494
261	300.260968496768
262	300.31391010657
263	300.319997572781
264	301.23703827668
265	301.323355400718
266	301.312731195171
267	302.328976233911
268	302.950646606309
269	303.327625923926
270	303.910536528074
271	303.952506896321
272	304.910408682169
273	305.089759450165
274	305.229484530496
275	305.910951595309
276	306.907533991131
277	307.187711331024
278	307.226590099684
279	307.245560987862
280	307.263175669633
281	308.266611539023
282	309.172398252545
283	309.242103360967
284	309.27867449266
285	310.245582624945
286	310.282121352723
287	310.92882025232996
288	311.167905348517
289	311.167905825162
290	311.167547263965
291	311.167450268439
292	311.2036433698
293	311.248484702881
294	311.257490363577
295	311.285360357042
296	311.29426829773604
297	311.908379125532
298	312.176922093609
299	312.170745625504
300	312.171183912584
301	312.17118028954496
302	312.251242885229
303	312.297737986779
304	312.28823898983796
305	313.07728138112003
306	313.16608520940497
307	313.190399352245
308	313.220405881399
309	313.23711676569803
310	313.300791560395
311	314.077990650006
312	314.193830178983
313	314.240537021819
314	314.303658822874
315	315.07528196973203
316	315.187829937577
317	315.243383443634
318	315.252816306681
319	316.256221391376
320	316.946788604221
321	316.946589802275
322	317.208483692657
323	317.950238503563
324	318.92718892322
325	318.951233091937
326	318.96166717995203
327	319.18775477689496
328	319.888070587944
329	321.203501099523
330	321.222997934519
331	322.206986542966
332	322.939985430653
333	323.16734564023
334	323.219371605798
335	323.907885833975
336	324.222885359722
337	325.18365191936
338	325.183179735868
339	325.18363528455797
340	325.183275496675
341	325.18303973757
342	325.22594178162603
343	325.237695753387
344	325.273775789043
345	325.309996414326
346	326.186418423828
347	326.18690489426
348	326.187002827911
349	326.240894570024
350	326.277153557644
351	326.313400372777
352	326.902266284925
353	327.181896467486
354	327.25335669172995
355	327.252774022768
356	327.28933698405604
357	328.256657528832
358	328.25616923164904
359	329.268557228196
360	329.26840676845296
361	329.258964781502
362	330.271797558071
363	330.962601428255
364	330.9494747563
365	331.203110378065
366	332.206519791897
367	333.20053941725604
368	333.203372045279
369	333.21872271178603
370	333.261307311954
371	333.936525755173
372	334.203725946623
373	334.222147458858
374	335.17463031942503
375	335.206470336413
376	335.216164090309
377	335.276626805994
378	336.21935011521
379	337.209302519693
380	337.22193169441005
381	337.234784091824
382	337.273957083168
383	337.30973417984796
384	338.193309363859
385	338.23688465078703
386	338.277339967049
387	338.31309262978
388	339.200484385984
389	339.198580151941
390	339.19859123987203
391	339.233405824649
392	339.23195221812
393	339.273316003334
394	339.325264941986
395	340.201984373962
396	340.208243607826
397	340.236652337271
398	340.235223163127
399	340.328717441818
400	340.944852006819
401	341.10751714823
402	341.197483518563
