,adduct,lm_id
119,M+H,LMFA01030354
119,M+H,LMFA01030764
119,M+H,LMFA01030356
119,M+H,LMFA01030357
119,M+H,LMFA01030549
119,M+H,LMFA01030358
119,M+H,LMFA01030548
119,M+H,LMFA01030547
119,M+H,LMFA01030545
119,M+H,LMFA01030355
119,M+H,LMFA01030546
119,M+H,LMFA01030169
120,M+H,LMFA01030521
120,M+H,LMFA01030519
120,M+H,LMFA01030520
120,M+H,LMFA01030522
120,M+H,LMFA01030167
120,M+H,LMFA01030537
120,M+H,LMFA01030517
120,M+H,LMFA01030544
120,M+H,LMFA01030516
120,M+H,LMFA01030515
120,M+H,LMFA01030514
120,M+H,LMFA01030518
120,M+H,LMFA01030538
120,M+H,LMFA01030526
120,M+H,LMFA01030524
120,M+H,LMFA01030531
120,M+H,LMFA01030541
120,M+H,LMFA01030530
120,M+H,LMFA01030529
120,M+H,LMFA01030528
120,M+H,LMFA01030542
120,M+H,LMFA01030513
120,M+H,LMFA01030523
120,M+H,LMFA01030533
120,M+H,LMFA01030534
120,M+H,LMFA01030540
120,M+H,LMFA01030535
120,M+H,LMFA01030536
120,M+H,LMFA01030543
120,M+H,LMFA01030532
120,M+H,LMFA01030525
120,M+H,LMFA01030527
120,M+H,LMFA01030512
120,M+H,LMFA01030539
120,M+H,LMFA01030551
120,M+H,LMFA01030734
120,M+H,LMST02010050
120,M+H,LMFA01030813
120,M+H,LMFA01030511
120,M+H,LMFA01030735
120,M+H,LMST02010042
120,M+H,LMFA01140005
120,M+H,LMFA01030172
120,M+H,LMFA01030552
120,M+H,LMFA01030171
120,M+H,LMFA01030550
120,M+H,LMFA01030354
120,M+H,LMFA01030764
120,M+H,LMFA01030356
120,M+H,LMFA01030357
120,M+H,LMFA01030549
120,M+H,LMFA01030358
120,M+H,LMFA01030548
120,M+H,LMFA01030547
120,M+H,LMFA01030545
120,M+H,LMFA01030355
120,M+H,LMFA01030546
120,M+H,LMFA01030169
121,M+H,
122,M+H,
123,M+H,
124,M+H,LMFA01030560
124,M+H,LMFA01030562
124,M+H,LMFA01030778
124,M+H,LMFA07010541
124,M+H,LMFA01030561
124,M+H,LMFA01030154
124,M+H,LMFA01030776
124,M+H,LMFA01140020
124,M+H,LMFA01030815
124,M+H,LMFA07010370
124,M+H,LMFA07010364
124,M+H,LMFA07010360
124,M+H,LMFA01030773
124,M+H,LMFA01020209
124,M+H,LMFA01030140
124,M+H,LMFA01030141
124,M+H,LMFA01030346
124,M+H,LMFA07010354
124,M+H,LMFA07010352
124,M+H,LMFA01030345
124,M+H,LMFA07010350
124,M+H,LMFA01030142
124,M+H,LMFA01030143
124,M+H,LMFA01030144
124,M+H,LMFA01030145
124,M+H,LMFA01030344
124,M+H,LMFA01030343
124,M+H,LMFA07010353
124,M+H,LMFA01030347
124,M+H,LMFA01030348
124,M+H,LMFA01030148
124,M+H,LMFA01030883
124,M+H,LMFA01030741
124,M+H,LMFA01030742
124,M+H,LMFA01030775
124,M+H,LMFA01030156
124,M+H,LMFA01030155
124,M+H,LMST02010019
124,M+H,LMFA01030153
124,M+H,LMFA01030152
124,M+H,LMFA01030151
124,M+H,LMFA01030923
124,M+H,LMFA01030147
124,M+H,LMFA01030146
124,M+H,LMFA01030339
124,M+H,LMFA01030341
124,M+H,LMFA01030342
124,M+H,LMFA01030353
124,M+H,LMFA01030352
124,M+H,LMFA01030351
124,M+H,LMFA01030350
124,M+H,LMFA01030349
124,M+H,LMFA01030777
125,M+H,
126,M+H,
127,M+H,
128,M+H,
129,M+H,
130,M+H,
131,M+H,
132,M+H,
133,M+H,
134,M+H,
135,M+H,
136,M+H,
137,M+H,
138,M+H,
139,M+H,
140,M+H,
141,M+H,
142,M+H,
143,M+H,
144,M+H,
145,M+H,
146,M+H,LMFA01140017
146,M+H,LMFA01030126
146,M+H,LMFA01030119
146,M+H,LMFA01030125
146,M+H,LMFA01030122
146,M+H,LMFA01030123
146,M+H,LMFA01140002
146,M+H,LMFA01030124
146,M+H,LMFA01030120
146,M+H,LMFA01030127
146,M+H,LMFA01030121
146,M+H,LMFA07010564
146,M+H,LMFA07010620
146,M+H,LMFA07010377
146,M+H,LMFA07010376
146,M+H,LMFA07010375
146,M+H,LMFA07010374
146,M+H,LMFA07010373
146,M+H,LMFA07010372
146,M+H,LMFA07010371
146,M+H,LMFA07010369
146,M+H,LMFA01030774
146,M+H,LMFA01030812
146,M+H,LMFA01030914
146,M+H,LMFA07010359
146,M+H,LMFA07010358
146,M+H,LMFA07010357
146,M+H,LMFA07010356
146,M+H,LMFA07010355
146,M+H,LMFA07010349
146,M+H,LMFA07010348
146,M+H,LMFA01020369
146,M+H,LMFA01030338
146,M+H,LMFA01030337
146,M+H,LMFA07040057
146,M+H,LMFA01030336
146,M+H,LMFA01030453
